round 1, 20000, 26.2742s
round 1, 20000, 12966.5, 26.0083s
round 2, 19783, 25924.9, 44.7099s
round 3, 18976, 51788.9, 83.2919s
round 4, 18723, 25884.6, 46.654s
round 5, 18196, 51727.4, 85.9309s
round 6, 18165, 51724.9, 85.6563s
round 7, 18158, 25862.2, 47.5457s
round 8, 18113, 51720.7, 85.8464s
round 9, 18109, 51720.4, 85.8584s
round 10, 17973, 51709.4, 86.7094s
round 11, 17890, 51702.6, 86.9261s
round 12, 17885, 51702.2, 87.0673s
round 13, 17881, 51701.9, 87.0221s
round 14, 17836, 25849.1, 48.6258s
round 15, 17807, 103392, 164.984s
round 16, 17803, 51695.5, 91.1127s
round 17, 17758, 51691.8, 91.3132s
round 18, 17652, 51683, 91.5707s
round 19, 17372, 51659.6, 92.8973s
round 20, 17356, 51658.2, 93.0021s
round 21, 17352, 51657.9, 93.1247s
round 22, 17321, 103311, 173.106s
round 23, 17317, 51654.9, 92.826s
round 24, 17262, 103301, 173.443s
round 25, 17234, 51647.9, 93.4568s
round 26, 17228, 103295, 173.755s
round 27, 17190, 51644.1, 93.8001s
round 28, 17127, 51638.8, 94.1571s
round 29, 15799, 51520.5, 99.9883s
round 30, 15795, 51520.1, 100.046s
round 31, 15596, 51501.5, 101.066s
round 32, 15011, 51445.5, 103.947s
round 33, 15003, 51444.7, 104.027s
round 34, 14909, 25717.8, 57.5475s
round 35, 14905, 102870, 195.942s
round 36, 14828, 51427.5, 104.662s
round 37, 14816, 25713.2, 57.5608s
round 38, 14811, 51425.8, 104.632s
round 39, 14790, 51423.8, 104.922s
round 40, 14495, 102788, 199.725s
round 41, 14003, 102687, 205.738s
round 42, 13974, 102681, 206.227s
round 43, 13961, 51339.2, 109.973s
round 44, 13955, 51338.5, 109.949s
round 45, 13941, 51337.1, 109.98s
round 46, 12955, 51229.5, 116.557s
round 47, 12951, 51229, 116.588s
round 48, 12925, 51226.1, 116.863s
round 49, 12778, 51209.3, 117.927s
round 50, 12569, 102370, 225.493s
round 51, 12361, 102321, 228.977s
round 52, 12328, 51156.6, 121.765s
round 53, 12323, 51156.1, 121.807s
round 54, 12118, 102263, 233.109s
round 55, 12101, 51129.4, 123.753s
round 56, 12095, 102257, 233.568s
round 57, 12089, 51127.9, 123.771s
round 58, 12029, 51120.6, 124.265s
round 59, 12022, 102240, 232.702s
round 60, 12002, 51117.3, 123.656s
round 61, 11998, 102234, 233.093s
round 62, 11725, 51083, 125.949s
round 63, 11688, 102157, 238.477s
round 64, 11661, 51075, 126.675s
round 65, 11054, 50996.5, 132.287s
round 66, 11049, 50995.8, 132.449s
round 67, 10980, 50986.6, 133.03s
round 68, 10923, 101958, 252.952s
round 69, 10711, 50950.2, 135.912s
round 70, 10643, 50940.8, 136.584s
round 71, 10638, 50940.1, 136.637s
round 72, 10619, 101875, 259.352s
round 73, 10533, 50925.5, 138.32s
round 74, 10521, 101848, 262.196s
round 75, 10495, 50920.2, 139.117s
round 76, 10478, 50917.8, 139.279s
round 77, 10445, 50913.2, 139.476s
round 78, 10380, 50904, 140.347s
round 79, 10374, 101806, 265.763s
round 80, 10305, 50893.4, 141.734s
round 81, 10291, 50891.4, 141.737s
round 82, 9885, 50832.2, 146.578s
round 83, 9881, 50831.6, 146.717s
round 84, 9770, 50815, 148.861s
round 85, 9757, 50813, 148.541s
round 86, 9067, 25352.6, 84.6232s
round 87, 9047, 50701.9, 157.571s
round 88, 9036, 50700.1, 157.656s
round 89, 8735, 50650.3, 162.069s
round 90, 8625, 50631.6, 163.763s
round 91, 8620, 25315.4, 87.9787s
round 92, 8610, 50629.1, 163.875s
round 93, 8606, 50628.4, 164.026s
round 94, 8580, 50623.9, 164.366s
round 95, 8570, 50622.2, 164.682s
round 96, 8557, 50620, 164.82s
round 97, 8548, 50618.4, 164.912s
round 98, 8082, 50535.9, 172.793s
round 99, 8054, 50530.8, 173.327s
round 100, 8046, 25264.7, 92.8875s
round 101, 8028, 50526, 173.679s
round 102, 7732, 50470.7, 179.104s
round 103, 7707, 50465.9, 179.58s
round 104, 7691, 50462.8, 179.97s
round 105, 7675, 50459.8, 182.902s
round 106, 7656, 25228.1, 97.9411s
round 107, 7649, 50454.8, 183.352s
round 108, 7645, 50454, 183.463s
round 109, 7366, 50399.2, 189.893s
round 110, 7323, 50390.6, 191.074s
round 111, 7305, 50387, 191.295s
round 112, 7273, 50380.5, 192.055s
round 113, 7258, 50377.4, 188.787s
round 1, 20000, 12966.5, 26.8723s
round 2, 19720, 25922.6, 51.4544s
round 114, 7153, 50356, 191.846s
round 276, 0, 0.688409s
round 2286, 0, 0.726166s
