round 326, 0, 1.39197s
round 691, 0, 1.10165s
round 1, eta = 30000,mem = 2554 # RR sets: 21418.9
round 3, eta = 29669,mem = 2934 # RR sets: 42828.6
round 5, eta = 29465,mem = 2984 # RR sets: 42822.9
round 7, eta = 28999,mem = 3015 # RR sets: 42809.8
round 9, eta = 28841,mem = 3700 # RR sets: 85610.6
round 11, eta = 28748,mem = 3762 # RR sets: 85605.3
round 13, eta = 28591,mem = 3762 # RR sets: 42798.2
round 15, eta = 28552,mem = 3801 # RR sets: 85594.1
round 17, eta = 28525,mem = 3823 # RR sets: 85592.5
round 19, eta = 28501,mem = 3842 # RR sets: 85591.1
round 21, eta = 28463,mem = 3857 # RR sets: 85589
round 23, eta = 28063,mem = 3878 # RR sets: 85565.7
round 25, eta = 27973,mem = 3892 # RR sets: 85560.4
round 27, eta = 27956,mem = 3903 # RR sets: 85559.4
round 29, eta = 27929,mem = 3914 # RR sets: 85557.8
round 31, eta = 26969,mem = 3948 # RR sets: 85500.3
round 33, eta = 26886,mem = 3958 # RR sets: 85495.2
round 35, eta = 26483,mem = 3976 # RR sets: 85470.4
round 37, eta = 25284,mem = 4038 # RR sets: 85394.2
round 39, eta = 25225,mem = 4048 # RR sets: 85390.4
round 41, eta = 25192,mem = 4052 # RR sets: 85388.3
round 43, eta = 25170,mem = 4062 # RR sets: 85386.8
round 45, eta = 25135,mem = 4072 # RR sets: 85384.5
round 47, eta = 25094,mem = 4082 # RR sets: 85381.8
round 49, eta = 25029,mem = 4092 # RR sets: 85377.6
round 51, eta = 24986,mem = 4100 # RR sets: 85374.8
round 53, eta = 24960,mem = 4111 # RR sets: 85373
round 55, eta = 24932,mem = 4115 # RR sets: 85371.2
round 57, eta = 24899,mem = 4119 # RR sets: 85369
round 59, eta = 24861,mem = 5616 # RR sets: 170733
round 61, eta = 24232,mem = 5616 # RR sets: 85324.4
round 63, eta = 24196,mem = 5616 # RR sets: 85321.9
round 65, eta = 24152,mem = 5616 # RR sets: 85319
round 67, eta = 23995,mem = 5779 # RR sets: 170616
round 69, eta = 23924,mem = 5779 # RR sets: 85303.4
round 71, eta = 23884,mem = 5779 # RR sets: 85300.6
round 73, eta = 23821,mem = 5851 # RR sets: 170593
round 75, eta = 23633,mem = 5851 # RR sets: 85283.2
round 77, eta = 23032,mem = 5851 # RR sets: 85240.9
round 79, eta = 23017,mem = 5957 # RR sets: 170480
round 81, eta = 22946,mem = 6003 # RR sets: 170470
round 83, eta = 22921,mem = 6003 # RR sets: 85233
round 85, eta = 22913,mem = 6003 # RR sets: 85232.4
round 87, eta = 22757,mem = 6003 # RR sets: 85221.2
round 89, eta = 22723,mem = 6003 # RR sets: 85218.7
round 91, eta = 22701,mem = 6055 # RR sets: 170434
round 93, eta = 22648,mem = 6086 # RR sets: 170427
round 95, eta = 22342,mem = 6134 # RR sets: 170382
round 97, eta = 22235,mem = 6134 # RR sets: 85183
round 99, eta = 22188,mem = 6168 # RR sets: 170359
round 101, eta = 22166,mem = 6168 # RR sets: 85177.9
round 103, eta = 22151,mem = 6190 # RR sets: 170354
round 105, eta = 22124,mem = 6211 # RR sets: 170350
round 107, eta = 22055,mem = 6211 # RR sets: 85169.7
round 109, eta = 22012,mem = 6236 # RR sets: 170333
round 111, eta = 21980,mem = 6236 # RR sets: 85164.1
round 113, eta = 21962,mem = 6254 # RR sets: 170325
round 115, eta = 21940,mem = 6256 # RR sets: 85161.1
round 117, eta = 21897,mem = 6256 # RR sets: 85157.8
round 119, eta = 21865,mem = 6276 # RR sets: 170311
round 121, eta = 21853,mem = 6290 # RR sets: 170309
round 123, eta = 21791,mem = 6306 # RR sets: 170300
round 125, eta = 21730,mem = 6306 # RR sets: 85145.3
round 127, eta = 13383,mem = 6935 # RR sets: 84348.2
round 129, eta = 13338,mem = 6946 # RR sets: 84342.6
round 131, eta = 13306,mem = 6953 # RR sets: 84338.7
round 133, eta = 13288,mem = 6953 # RR sets: 84336.5
round 135, eta = 12321,mem = 7114 # RR sets: 84212.1
round 137, eta = 12279,mem = 7121 # RR sets: 84206.5
round 139, eta = 12240,mem = 7130 # RR sets: 84201.2
round 141, eta = 12175,mem = 7130 # RR sets: 42096.2
round 143, eta = 12158,mem = 7146 # RR sets: 84190.1
round 145, eta = 12086,mem = 7158 # RR sets: 84180.4
round 147, eta = 11874,mem = 7197 # RR sets: 84151.2
round 149, eta = 11828,mem = 7204 # RR sets: 84144.8
round 151, eta = 11790,mem = 7208 # RR sets: 84139.5
round 153, eta = 11766,mem = 7213 # RR sets: 84136.2
round 155, eta = 11738,mem = 7220 # RR sets: 84132.3
round 157, eta = 11700,mem = 7229 # RR sets: 84126.9
round 159, eta = 11680,mem = 7230 # RR sets: 84124.1
round 161, eta = 11650,mem = 7237 # RR sets: 84119.9
round 163, eta = 11631,mem = 7241 # RR sets: 84117.2
round 165, eta = 11579,mem = 7251 # RR sets: 84109.8
round 167, eta = 11274,mem = 7308 # RR sets: 84065.8
round 169, eta = 11244,mem = 7308 # RR sets: 42030.7
round 171, eta = 11225,mem = 7315 # RR sets: 84058.6
round 173, eta = 10805,mem = 7392 # RR sets: 83995.8
round 175, eta = 10725,mem = 7409 # RR sets: 83983.6
